,Ngb,n,Trestored,Tc,phi_false,phi_true,Tn,alpha,beta,vw,SNR,chhh_loop,epsilon
0,4,10,257.7889447236181,250.679561148552,47.26187625121165,189.2208020002801,249.4350620843948,0.0009529278373639963,555382.0585035421,0.142204295181457,4.4413376965090985e-21,-0.8819562495529034,4.213901596719883e-05
1,4,13,257.7889447236181,249.91188653687922,37.11185432681114,190.2261148465677,248.50326579840888,0.0010264353053617773,245889.74391713913,0.1518343805246062,3.722282094703357e-19,-0.8987921680708709,1.0515982769383533e-05
2,4,16,257.286432160804,249.31585784645944,22.35748170357397,191.34184789514407,247.7487007612584,0.0010957464881427052,167684.2836634127,0.15865138995631145,3.361973031982801e-18,-0.9052817243989629,3.4023716370576285e-06
3,4,19,257.286432160804,248.78399427886882,2.3241838509956354,192.42637580294223,247.01501151627102,0.0011419869815499938,105966.20558304054,0.16670893716456867,4.165682779530159e-17,-0.9074964675602373,1.315181353516042e-06
4,4,22,257.286432160804,248.3528696287833,-0.018646247675931704,193.50574049636882,246.33867289814125,0.001158837353986675,68890.52524967094,0.17776529313501674,4.2452288778893023e-16,-0.9076221804071096,5.786369260258374e-07
5,4,25,257.286432160804,247.98777848949248,-0.00975036621089487,194.342867357619,245.82623933677056,0.0011701392303616034,57727.640763737014,0.18414182645713406,1.136491706954147e-15,-0.9071349887852134,2.8095968154796213e-07
6,4,28,257.286432160804,247.67245712450642,-0.04324324041294287,195.1403677096904,245.34365003435482,0.001180916172319826,46886.89514757885,0.19108043823143084,3.5541124932423785e-15,-0.9052610677711731,1.4734346289817696e-07
7,4,31,257.286432160804,247.33316626165387,-0.009765148161619663,195.77185680866245,244.87289849724263,0.0011901580523919794,41417.560123426265,0.19638210092171204,7.158485042244667e-15,-0.9037336007539395,8.226950457547532e-08
8,4,34,257.286432160804,247.10447422186874,-0.004883527749282024,196.37167626425537,244.5475641619892,0.001196759982139277,38589.421412525946,0.20021016471520744,1.0800193511902622e-14,-0.9022273569686156,4.8360430145730095e-08
9,4,37,257.286432160804,246.82705763874088,-0.009277343748827604,196.7797439075724,244.2355033454002,0.0012014281306675612,39298.784940337406,0.2016479096074645,1.0187991662025526e-14,-0.9003252620531588,2.9673579959291623e-08
10,4,40,257.286432160804,246.6183417945265,-0.04310277965465401,197.25334811242473,243.94945057589032,0.001206724833967357,37219.78861865551,0.2046420188376437,1.3987431441567767e-14,-0.8986375535293588,1.8889585709106247e-08
11,4,43,257.286432160804,246.43141255850688,-0.007873564906162756,197.71297143935485,243.676736835743,0.0012119685539430198,35191.250037831844,0.20789179989229573,1.9401657262872242e-14,-0.8964681680047965,1.240641970468907e-08
12,4,46,257.286432160804,246.22164629845696,-0.0527343749980389,198.08003909835014,243.40760642908444,0.0012164972661743506,34350.650250404666,0.2101472469530289,2.2713771641803243e-14,-0.8953369428791578,8.378271877331615e-09
13,4,49,257.286432160804,246.02782473863635,-0.01556396483675826,198.46177079496732,243.12629904224337,0.0012215546833636412,31926.373163206357,0.21337550689469365,3.4224432744055166e-14,-0.8940218547165698,5.795099567653863e-09
14,4,52,257.286432160804,245.88026024861716,-0.04687499998789235,198.8780283333673,242.87241547497143,0.0012269120523866225,29458.072857719613,0.21719135300651105,5.375579070212092e-14,-0.8920338802007822,4.093335697539593e-09
15,4,55,257.286432160804,245.7187605163017,-0.035186767519178375,199.22171031508628,242.63048638609158,0.0012313949112123064,27857.657829179032,0.220055309094373,7.387029807984607e-14,-0.8903565366247642,2.9469267423699327e-09
16,4,58,257.286432160804,245.56346211405548,-0.012592287048466176,199.45864736084891,242.46235473340457,0.0012334625376052856,28484.74921940501,0.22055900808602927,6.70629040950398e-14,-0.8891567621696387,2.158328389754229e-09
