,Ngb,n,epsilon,f,Trestored,Tc,phi_false,phi_true,Tn,alpha,beta,vw,SNR
0,4,10,5.450305736543185e-08,1000,446.20158774024264,440.81710440192995,104.41807198220985,345.81890233585796,439.15586163886803,0.020591967278163453,93168.94850303173,0.06332400181490491,1.3028304826958641e-14
1,4,13,1.3382447120976568e-08,1000,352.3464268262933,348.4927939730834,81.89143497851207,272.2938716876496,347.2014654101598,0.020518296823592626,95899.64904977306,0.0625324393463169,2.206391326795909e-14
2,4,16,4.299450041854131e-09,1000,380.97574347450814,288.2578858322244,67.83616007202315,224.83269857177905,287.1874804474489,0.020446658606430603,93821.14855992871,0.06259658012818396,4.311446468791217e-14
3,4,19,1.6568364742162792e-09,1000,339.61691914926155,245.8177122930725,57.623294557771224,191.48756221470705,244.92170582647725,0.020432801831497722,96592.04219410178,0.06222713428711022,5.93066643529999e-14
4,4,22,7.281436122338326e-10,1000,308.8931871468374,214.2973916927735,50.06810704303844,166.7894931783562,213.5231193492275,0.02042837191883334,97516.64812717533,0.06193208822146723,8.449099363068001e-14
5,4,25,3.5346653983023825e-10,1000,285.1640199545103,189.95348185209104,44.20562778528474,147.74112286813366,189.2746006568136,0.02043558311203473,100995.31205637996,0.06157962727289097,1.0076227412868309e-13
6,4,28,1.854909808395434e-10,1000,266.28219864210797,170.58271732216534,39.43527185049251,132.58279236138708,169.98373913232544,0.020462201316122614,108276.43898952355,0.061003662334507616,9.689857215649437e-14
7,4,31,1.0364213737535038e-10,1000,250.89863644835705,154.80093627302188,35.960682306726454,120.32118257751085,154.24995355627695,0.020426699492149383,102017.0482674855,0.06144051113461829,1.7613422703664594e-13
8,4,34,6.09747001534567e-11,1000,238.12277665483924,141.69443512426585,33.08699746179316,110.14566108388601,141.1832851921451,0.020390608579778292,98372.61450285159,0.06188096491967608,2.779177046582883e-13
9,4,37,3.7455005590215466e-11,1000,227.34290799340266,130.63563457680706,30.41014995378818,101.51723156413648,130.1682715140853,0.020403639619321758,99712.00644567194,0.06160852765801966,3.2982164483444983e-13
10,4,40,2.3866649748130595e-11,1000,218.12488464372368,121.1791327809694,28.054644132681425,94.12991417710923,120.75163869495084,0.020431340430822113,105468.4076438569,0.06114859853653338,3.1037412124996036e-13
11,4,43,1.5695087306440925e-11,1000,210.15202290310472,113.00002452068165,26.331580435088153,87.80075029674852,112.5943587909816,0.020391263085337088,99073.61125204686,0.06171752185503979,5.310573677534305e-13
12,4,46,1.0608026156844064e-11,1000,203.18787407351647,105.85574385385006,24.43088840228514,82.19837035205433,105.48581407756006,0.02044292229223977,109319.0145635999,0.060846756560319445,3.8953228564971896e-13
13,4,49,7.344165801256219e-12,1000,197.05231721239392,99.56149152743004,23.05667866698065,77.32277077309061,99.20957559376187,0.020422528980472348,103799.10454606445,0.061206841782117036,6.135092462012829e-13
14,4,52,5.193735216831698e-12,1000,191.60572248286888,93.97403991866119,21.817600229306123,72.9899733435581,93.63966756265171,0.020406414936994778,102811.75236860967,0.061421499697776,7.715607877908214e-13
15,4,55,3.743150179561154e-12,1000,186.7381748239311,88.98061876113219,20.58916722874377,69.09596128296005,88.66673745845227,0.020424183208218972,105850.21282442582,0.061139136365004815,7.847234072465215e-13
16,4,58,2.743863998637037e-12,1000,182.3619663385477,84.49123984258031,19.459564335486995,65.591267725005,84.19657135548431,0.0204496479867543,108049.5881293862,0.06076693643479897,8.244465229893329e-13
