,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,2,2.7968189749999244,79,-3.5486589333751777,89,8.136994467934866,True,-0.9937590825069974,259.94200383775143,251.70327994578824,79.64171450698377,168.64502870419025,251.15165709860327,0.0006573208251654725,138379.7295982372,0.09371407434577482,0.5979011326152006,6.419219844543224e-19
1,9,-1.0336282147024516,45,7.147099499047961,86,-7.595897419544347,,,,,,,,,,,,
2,14,-0.8644722017274535,53,-0.8703440964066864,63,-7.267515233268758,,,,,,,,,,,,
3,3,-3.9663263138724787,20,-5.7413028509709125,86,7.143476546040407,True,-1.0785540364782968,258.7113334890904,250.9194517217436,75.91465060868308,172.14879036520983,250.3170698782634,0.0007523859851302896,148872.66471840118,0.09809081404520312,0.5993082121754872,7.42974289937697e-19
4,5,4.0460179070582765,16,-7.830893269447198,84,8.27485377574186,True,-1.0945937736327394,258.31077178543063,250.84577823552274,75.61020197973178,172.48612118783907,250.23795960405366,0.0007634695891815381,157618.81319238737,0.09853781631118097,0.5994660886307632,5.909273670961156e-19
5,48,0.7799523546100104,52,1.651487246381036,95,-5.751637341274172,,,,,,,,,,,,
6,6,-4.549526192459014,12,-6.445904450394706,77,-8.843846559955946,,,,,,,,,,,,
7,13,-0.5061987073458987,24,4.048210962980271,43,-9.524588846328346,,,,,,,,,,,,
8,34,-1.2121872203720496,83,3.78797690571308,95,-6.527791852381732,,,,,,,,,,,,
9,56,-7.085764969987112,59,8.124778150379306,91,-9.93999507027568,,,,,,,,,,,,
10,8,3.753311752936039,27,-3.7707739543732295,35,-9.214429428413704,,,,,,,,,,,,
11,43,7.8294617315909,59,-8.232424157436103,83,9.70934853653047,True,-0.9728978642270522,261.1555526224682,,,,,,,,,
12,27,4.539630569846192,78,-4.549668364588064,93,6.560135411527934,True,-0.8187886065924935,263.0873539143816,,,,,,,,,
13,62,4.46344329210371,83,7.58440054976052,86,9.503786500186497,True,-1.2780152745526974,256.82146014327077,249.4387993297947,71.79122756726737,176.67473654036044,248.74175448654654,0.000917217237769211,142589.93162666523,0.10582078804292928,0.6015436123496016,1.9762868037468745e-18
14,42,-3.035768768968068,81,-6.219507196970482,98,8.947736931643682,True,-0.6074660705426208,265.5723480320983,255.66492244489663,90.88550616419137,159.58550616419137,255.32862345895217,0.00039923418196011396,247318.07427367664,0.07252522723708066,0.593432526750563,4.661966589826217e-21
15,15,-1.7743699128618324,34,-2.3889718960245476,62,-2.7148027891947972,,,,,,,,,,,,
16,32,-0.052875226283742194,36,0.31752445101270155,87,0.38255603919222736,True,-1.4208100633595726,256.8423802991705,,,,,,,,,
17,19,1.743808719653039,48,6.512861406338832,77,-7.834113124328224,,,,,,,,,,,,
18,44,1.3229453198924812,63,-4.433118196487511,65,-7.222107819238737,,,,,,,,,,,,
19,46,1.2194051075783925,54,2.389830556155486,61,-4.619961497180909,,,,,,,,,,,,
