,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,43,8.547072783643713,55,-6.625649781288585,,,,,,,,,,,,,,,,,,,,,
1,26,-7.957416202194358,67,5.501209874263704,True,-0.7438559419540929,263.6889779284601,254.62231246822208,82.78325907448358,167.20995544469014,254.1633481851033,0.0005420317697283876,221740.4874351054,0.08499245900258028,0.5960442474497852,2.7743499279331244e-20,,,,,,,,,
2,1,-9.103834704222146,90,5.989772839489779,True,-1.1401834738080432,257.9159449605494,250.29848847990533,75.13643298475235,172.3618597908514,249.71271340304955,0.0007860994045104121,165787.26162537286,0.09687044954181578,0.5997847653384731,4.897365207043805e-19,,,,,,,,,
3,5,-7.436246599334401,74,1.2431720930760104,True,-1.076807489047343,262.4769629190352,251.55727820890007,75.27576332647452,173.7054579958847,250.9648473347051,0.0007634961240408962,178672.9893840291,0.09717372943808411,0.599466465159749,3.063748308362646e-19,,,,,,,,,
4,27,6.024165518538691,61,-5.626633709908376,,,,,,,,,,,,,,,,,,,,,
5,21,-6.235902765893453,73,-2.3700135135770566,,,,,,,,,,,,,,,,,,,,,
6,51,3.098531233083472,87,2.2417672625168823,True,-2.5942767985633903,263.21003698088384,256.1662526580538,61.85787113491906,346.6,248.48070962169365,0.0019883053664609394,16497.324495935263,0.3493498070321703,0.612594420122163,1.3397453241931096e-11,180.7174964070305,379.085003079695,413.585003079695,180.41499692030501,0.00013623122124902572,208173.75618900114,0.08168268551458271,0.5868012976913081,1.3669088867387743e-21
7,28,-9.952312468967182,70,7.78760583172463,True,-0.7575788739378815,266.01251219106064,254.45487796199404,82.41127466435374,167.34676479861224,254.01774506712925,0.0005494963531566254,262905.74097829754,0.08299108079795153,0.5961703348474472,1.1909246169909367e-20,,,,,,,,,
8,73,-9.767324817823951,75,-5.013565028784443,,,,,,,,,,,,,,,,,,,,,
9,23,-9.697594807451358,82,6.038932692519477,True,-0.95588512370523,259.6414941529118,,,,,,,,,,,,,,,,,,
10,51,-4.321706527322522,64,0.33641724524279226,,,,,,,,,,,,,,,,,,,,,
11,16,9.455259319197616,59,6.427728051141173,True,-1.2106525410905138,261.0220267095533,247.7132902212277,736.6416363581194,820.1416363581194,246.62918182094032,4.642224090797654e-05,75743.03506863915,0.1322071276808522,0.582886511073217,4.6450237980645285e-21,258.6310183801095,73.76643532322454,729.5065741292898,250.3467129353551,0.0010176253741326878,452276.18605137465,0.3712651186237423,0.6028031506481009,1.5483781060292476e-19
12,46,-8.354261361214402,59,5.715155751302985,True,0.004435972962819519,284.2135973999778,266.981927947661,112.79690121183215,146.89586828244288,266.9010329293893,0.00012605958148229323,2418270.9077496575,0.03478970894951523,0.5864445270095928,3.900524519289254e-28,,,,,,,,,
13,47,-3.605051796871253,69,-0.1688528209305229,,,,,,,,,,,,,,,,,,,,,
14,66,9.337304800423649,72,1.8868695671221953,True,-1.097934622944499,260.21222084322216,251.3813011480646,74.40232137603363,175.20139282562016,250.6995357247933,0.0007939275456436622,124815.12195981774,0.1043092719506717,0.5998938872504901,2.3435796135849425e-18,,,,,,,,,
15,59,4.006832020856484,70,1.4803079108069568,True,-1.189554777801752,257.2575318803027,250.45014610553818,69.85648687308567,180.71389212385142,249.62870262538289,0.0009306304146428907,100782.1680356244,0.11477483086548121,0.6017159103917765,1.333124177566641e-17,,,,,,,,,
16,37,7.055020562785511,82,3.399429542380707,True,-5.4198998672170955,151.85700048176466,151.69803060255342,14.4,58.8,149.06545792489828,0.00526227094527234,37476.06534671958,0.26049894351575936,0.633479925940811,8.675737949541796e-12,,,,,,,,,
17,23,-3.610171757044654,84,3.2490114810083064,True,-1.0122528602575795,259.32047875774555,,,,,,,,,,,,,,,,,,
18,27,-7.822503352767695,62,7.68105188865729,True,-0.7498030139134028,264.1636345340048,254.72057472372694,82.8728711665597,167.46372269993583,254.24542576668807,0.0005438518245992067,200443.94300857477,0.08649979662801156,0.5960750731678125,4.7721442195710374e-20,,,,,,,,,
19,17,7.498275621751603,82,3.7097980749655424,True,-1.1927844322760854,258.1235556544199,256.84628518735536,78.80081745566514,1012.180163491133,248.81983650886698,0.0009684256622031199,-36587.1265050248,0.36757914948003784,0.602194533494115,3.994834967825617e-14,239.09316369629977,1034.1220869198687,1113.4305217299673,238.06947827003285,2.9549509801576565e-05,75060.00904694982,0.13115205094830532,0.581771607876738,1.0619191893309537e-21
