,Ngb,n,epsilon,f,Tf,Trestored,Tc,phi_false,phi_true,Tn,alpha,beta,vw,SNR,xi_0,xi_nuc,gdof
0,4,10,5.450305736543185e-09,1000,429.66892442365975,434.59354753923765,432.2203175481787,102.45657330597832,357.5103911930459,430.913331089228,0.00224332665469458,286657.4770723217,0.0588106439115028,5.871566335820492e-21,0.5,0.5014480994491718,1651.5015799842865
1,4,13,1.3382447120976568e-09,1000,339.68311024337874,343.5022057207657,341.6940864106751,81.33809979198932,281.66711002875877,340.66340536375225,0.0022277339197852367,284008.51128921594,0.05878680773817607,1.218005350624133e-20,0.5,0.5014429553469278,1651.4220266110042
2,4,16,4.299450041854131e-10,1000,280.97574347450814,380.97574347450814,282.63654985010527,66.01377877816125,232.4936408193118,281.7940963271409,0.0022349044685811624,288932.157956513,0.058299622963729064,1.9644365784466197e-20,0.5,0.5014562695742222,1651.1463901309683
3,4,19,1.656836474216279e-10,1000,239.61691914926152,339.61691914926155,241.03194702427123,55.92949019269064,198.04363499164563,240.317036134573,0.0022355366901985773,286340.44110012206,0.058115620250379633,3.296743892730501e-20,0.5,0.5014609089120192,1651.0243766385192
4,4,22,7.281436122338325e-11,1000,208.89318714683742,308.8931871468374,210.12605455062047,49.52014303507403,172.5891171738041,209.49833098991067,0.0022223907600293735,288693.455874737,0.05844120558140875,4.740896270900494e-20,0.5,0.5014484527986255,1651.1665943361802
5,4,25,3.5346653983023824e-11,1000,185.16401995451028,285.1640199545103,186.25640549567342,43.07123770311145,152.86486837929473,185.70564181389014,0.002234093477362523,290637.5859034062,0.05800315365986634,6.596313903828088e-20,0.5,0.5014625461780127,1651.0002257743652
6,4,28,1.8549098083954337e-11,1000,166.28219864210797,266.28219864210797,167.26291096433937,39.14480546995773,137.26469220549666,166.76550302325515,0.0022245968391066016,291386.9870967874,0.058258511172372046,8.948492107301438e-20,0.5,0.5014532655482485,1651.2011765629604
7,4,31,1.0364213737535039e-11,1000,150.89863644835705,250.89863644835705,151.78843362644253,35.24466942465543,124.51998976120498,151.33898804241736,0.002229280178390281,289642.4756773389,0.05807487810340588,1.2343704783307917e-19,0.5,0.5014590973266051,1651.2587503130512
8,4,37,3.7455005590215465e-12,1000,127.34290799340268,227.34290799340266,128.09359840235496,29.39657853364839,105.02810508981841,127.71674137318183,0.0022362131557322243,295678.71507712535,0.05780449028859617,1.8540200391964625e-19,0.5,0.5014678217486541,1651.6302693600112
9,4,40,2.3866649748130595e-12,1000,118.12488464372368,218.12488464372368,118.82116678514028,26.96094956002338,97.39522208583143,118.47367251640885,0.0022434636508997805,295263.03650292126,0.057552290239481656,2.3427362222779737e-19,0.5,0.5014763522256007,1651.9187319727137
10,4,43,1.5695087306440923e-12,1000,110.15202290310472,210.15202290310472,110.8012592557216,26.044061610492218,90.87250974274171,110.47135771328801,0.002218862558272643,288217.4096282457,0.05833020477556429,3.230157968467629e-19,0.5,0.5014495185915205,1652.7636778962997
11,4,52,5.193735216831698e-13,1000,91.6057224828689,191.60572248286888,92.14556042301598,21.05098532704391,75.52029355978185,91.87523650760457,0.0022379555651202447,297808.38009223423,0.05769136660502689,4.790761904764486e-19,0.5,0.501471054522746,1654.8529085510763
12,4,55,3.743150179561154e-13,1000,86.73817482393109,186.7381748239311,87.24930712430418,20.50731575511616,71.54160534581466,86.98962617027807,0.002218056295942398,288042.99894679047,0.05832125109930444,6.616566666366757e-19,0.5,0.5014494848828523,1655.4669826943518
13,4,58,2.7438639986370366e-13,1000,82.3619663385477,182.3619663385477,82.8472981336244,19.135444329572792,67.90832441971254,82.6028997132476,0.0022302102287813487,291072.3981403475,0.05793096187566892,7.368446102201576e-19,0.5,0.5014626494813731,1654.5426718926878
