,n,f,chhh
0,5,342.27721395801467,0.14794761855641567
1,6,385.47048692656955,-0.5252463567194462
2,7,429.96856444289205,-0.7624346224013504
3,8,475.2895752895752,-0.866364515530228
4,9,521.16850127011,-0.9185733534189705
5,10,567.5426463808207,-0.9455734220570415
6,11,614.1182339735595,-0.962687904652296
7,12,660.9395973154362,-0.9730131950303286
8,13,707.8780908568142,-0.9804009751932518
9,14,754.9831340079729,-0.9850728703888076
10,15,802.2157054415119,-0.9881061318156839
11,16,849.2583649534322,-0.993147047482482
12,17,896.903460837887,-0.992034251644299
13,18,944.0184049079755,-0.996252482551406
14,19,991.5424889246879,-0.9967358740180834
15,20,1039.2570704938792,-0.9958527677673166
16,21,1086.4960282436011,-0.9989627747453471
17,22,1134.5622119815669,-0.9958372154611255
18,23,1181.9491118578972,-0.9979389455230454
19,24,1229.77022977023,-0.997063346776869
20,25,1276.9709543568465,-1.000384423558647
21,26,1325.0807319698602,-0.9978990243551747
22,27,1372.3522853957636,-1.0006957041393472
23,28,1420.6578188113097,-0.9974195063114902
24,29,1468.097793679189,-0.9992389258706055
25,30,1516.0098522167489,-0.9984697607776657
26,31,1563.1746031746031,-1.0016724466054672
27,32,1611.2565445026178,-1.0001165468073483
28,33,1659.0296495956873,-1.0002012736613657
29,34,1707.3509015256589,-0.997735695833058
30,35,1754.8111190306483,-0.9993850804264635
31,36,1802.342606149341,-1.000656124887756
32,37,1849.7370398196845,-1.002481908974185
33,38,1898.2266769468001,-0.9996144134440453
34,39,1946.2450592885375,-0.9988543189015442
35,40,1993.5222672064776,-1.0011193530629896
36,41,2041.4593698175786,-1.0007139820067363
37,42,2089.983022071307,-0.9981134547074961
38,43,2137.152777777778,-1.000685563879406
39,44,2184.560780834073,-1.0022893221875944
40,45,2232.0942883046237,-1.0033909422479614
41,46,2281.742354031511,-0.9970951449908465
42,47,2329.2336802270574,-0.998423240625604
43,48,2376.4478764478763,-1.0006261192919856
44,49,2425.6157635467976,-0.996378508007448
45,50,2471.887550200803,-1.0015633215826605
46,51,2519.959058341863,-1.0009199523734036
47,52,2567.2575599582897,-1.002679067669882
48,53,2616.3655685441017,-0.9989144180144135
49,54,2664.5021645021643,-0.9981821652260863
50,55,2711.4537444933917,-1.0009254279183912
51,56,2760.0896860986545,-0.9987589242596117
52,57,2807.297605473204,-1.000687068311035
53,58,2856.1484918793503,-0.9980235453795877
54,59,2903.3018867924525,-1.0000566333061733
